region,time,avg_temp,min_temp,min_temp_day,max_temp,max_temp_day,avg_min_temp,avg_max_temp,avg_sea_pres,sum_preci,day_max_preci,day_max_preci_day,avg_rel_hum,sun_total_time,sun_rate,sum_solar,avg_wind_sp,max_wind_direct,sum_small_eva,sum_big_eva
211,2016,11.2,-19,20160124,35,20160808,6,17.4,1016.6,1185.7,252,20160705,65,2191.3,49.08,,1.8,160,,
212,2014,11.7,-19.9,20141218,36.1,20140802,6.1,18.7,1016.8,703.5,76,20140903,65.3,2327.4,52.25,,1.1,50,,
212,2015,12.2,-16.4,20150209,37.1,20150808,6.6,19,1016.7,740,62.5,20150724,64.8,2459.6,55.22,,1.2,70,,
212,2016,12.3,-19.3,20160124,36.6,20160812,6.9,18.9,1016.7,967.9,108.5,20160701,65.5,2378.1,53.28,,1.2,270,,
216,2014,9.3,-16.5,20141218,33.6,20140601,4.3,15.2,1015.9,1171.2,98.5,20140924,68.6,1918.5,43.08,,1.7,230,,
216,2015,9.8,-15.8,20150209,33.1,20150807,4.8,15.4,1015.7,882.8,115.9,20150825,66.6,1989.2,44.67,,1.6,230,,
216,2016,9.8,-20.4,20160124,34.6,20160812,4.8,15.3,1015.6,1141.4,151.5,20160704,69.4,1950.1,43.7,,1.6,230,,
217,2014,10.8,-16.5,20141219,34.6,20140531,5.7,17.3,1016.9,893.7,69.5,20140903,65.1,1765.5,46.17,,1.6,200,,
217,2015,11.4,-14.4,20150108,36.3,20150807,6.3,17.9,1016.6,724.6,78,20150724,64,2036.7,45.74,,1.7,340,,
217,2016,11.5,-18.3,20160124,35.9,20160805,6.5,17.9,1016.7,1174.2,154,20160704,64.4,1986.1,44.51,0,1.5,340,,
221,2014,10.6,-20.5,20141218,33.7,20140720,4.6,17.3,1016.8,913.6,76.5,20141021,69,2106.2,47.3,,1.5,250,,
221,2015,11.1,-17.1,20150209,36,20150807,5.1,17.8,1016.6,803.4,129.5,20150724,68,2242.7,50.36,,1.5,250,,
221,2016,11.3,-20.7,20160124,35.4,20160806,5.4,17.8,1016.7,1107.9,176,20160704,67.6,2135.1,47.84,,1.4,250,,
226,2014,11.5,-15,20141219,34.2,20140531,5.8,18.1,1017,1089.2,81.5,20141021,72.4,2062.2,46.32,,1.3,320,,
226,2015,12,-13.7,20150103,35.2,20150807,6.4,18.6,1016.8,817,52.5,20150626,69.8,2097.8,47.12,,1.4,320,,
226,2016,12.3,-18.2,20160124,35.6,20160819,6.7,18.8,1016.9,1291.6,196.5,20160704,68.6,2077.7,46.56,,1.4,320,,
232,2014,12.8,-14.5,20141222,34.6,20140730,7.6,18.7,1016.1,1020.5,126,20140718,67.1,2403.3,54.56,,1.9,270,,
232,2015,13,-12.8,20150209,36.3,20150807,7.9,18.8,1016,728,49,20150724,71.7,2124.7,48.45,,1.9,270,,
232,2016,12.7,-18.6,20160125,35.1,20160806,7.4,18.6,1016.5,1004.8,89.2,20160704,69.9,2223.8,49.83,,1.5,270,,
235,2014,12.9,-9.1,20141218,33.8,20140731,8.9,17.6,1016.6,1010.1,88.5,20140924,75.7,2356.7,52.94,,1.9,20,,
235,2015,13.3,-9.7,20150209,33.8,20150807,9.2,18,1016.5,785.4,36.5,20151001,76.9,2298.6,51.63,,1.7,20,,
235,2016,13.6,-13.6,20160124,33.9,20160811,9.5,18.3,1016.5,792.8,69.1,20160704,78.3,2245.2,50.33,,1.5,20,,
236,2014,12.7,-11.4,20140114,34.4,20140731,7.6,18.9,1016.8,1142.1,101,20140924,75.3,2050.8,46.07,,1.3,20,,
236,2015,12.9,-14.2,20150103,35.8,20150807,7.8,19,1016.7,848.8,60,20151001,75.7,2081.7,46.77,,1.3,20,,
236,2016,13.3,-17.5,20160125,36.2,20160812,8.2,19.4,1016.8,1129.3,157,20160704,74.3,2082.5,46.68,,1.3,230,,
238,2014,12.1,-13.9,20140114,35.5,20140730,6.4,18.7,1016.7,1131,154,20140825,69.6,1984.1,44.57,,1.2,270,,
238,2015,12.6,-13.2,20150103,35.7,20150807,7.1,18.8,1016.6,877.6,77.5,20150709,73.1,2022.2,45.43,,1.2,270,,
